Student Name,Major,Procrastination Activity,Procrastination Hours per Day,Assignment Due in (Days),Stress Level
Peggy Lee,Computer Science,Online Shopping,11,4,9
Katie Perez,Psychology,Gaming,12,7,5
Kyle Ellis,Art History,Taking a Nap,11,4,8
Amanda Carr,Psychology,Binge-watching Netflix,9,3,2
Patricia Hines,Psychology,Binge-watching Netflix,2,1,6
Makayla Robinson,Marketing,Gaming,2,4,1
Margaret Johnson,Psychology,Binge-watching Netflix,10,1,4
Penny Gonzales,Marketing,Gaming,7,2,6
Courtney Wood,Business,Binge-watching Netflix,4,3,1
Kevin Hamilton,Computer Science,Binge-watching Netflix,5,5,6
Tracy Morgan,Art History,Taking a Nap,4,7,4
Seth Smith,Computer Science,Taking a Nap,3,2,9
Paul Patrick,Engineering,Online Shopping,2,3,7
Lisa Stewart,Marketing,Binge-watching Netflix,4,1,8
Stacey Lee,Marketing,Online Shopping,3,4,1
Zachary Espinoza,Marketing,Gaming,9,1,7
Jessica Johnson,Art History,Scrolling TikTok,4,7,8
Tyler Sexton,Psychology,Taking a Nap,11,5,2
Jennifer Hall,Marketing,Binge-watching Netflix,12,4,9
Andrew Chambers,Art History,Gaming,5,1,2
Ana Diaz,Marketing,Online Shopping,8,7,10
Amy Henderson,Psychology,Binge-watching Netflix,6,4,4
Mikayla Mckee,Business,Scrolling TikTok,8,1,8
Christina Bowen,Engineering,Binge-watching Netflix,8,6,9
Ann Mendoza,Marketing,Taking a Nap,5,5,3
Dana Harris,Marketing,Online Shopping,12,7,9
Travis Johnson,Marketing,Taking a Nap,7,6,8
Carolyn Stevens,Art History,Online Shopping,1,6,8
Jennifer Morales,Art History,Taking a Nap,9,3,5
Donna Newton,Engineering,Online Shopping,2,7,5
Christopher Braun,Marketing,Scrolling TikTok,4,4,1
Robyn Thompson,Engineering,Online Shopping,8,5,4
Cathy Gonzalez,Business,Online Shopping,5,5,2
Andres Evans,Psychology,Gaming,10,5,3
Frank Foley,Business,Binge-watching Netflix,5,3,8
Courtney Crane,Computer Science,Scrolling TikTok,4,6,5
Angela Adams,Psychology,Taking a Nap,1,4,6
Ronald Maxwell,Art History,Scrolling TikTok,12,7,4
Nicole Reid,Business,Binge-watching Netflix,3,3,10
Jaime Hardin,Art History,Binge-watching Netflix,3,2,2
Ryan Vasquez MD,Business,Taking a Nap,9,1,7
Marissa Smith,Business,Scrolling TikTok,5,3,4
Traci Smith,Engineering,Online Shopping,9,7,9
Brandon Jackson,Computer Science,Binge-watching Netflix,9,3,8
Raymond Graham,Business,Taking a Nap,6,3,9
Raymond Sims,Art History,Gaming,5,2,6
Alejandro Evans,Engineering,Taking a Nap,6,4,3
Raymond Armstrong,Business,Online Shopping,9,2,7
Stephanie Brooks,Art History,Online Shopping,11,3,9
Stephen Estrada,Art History,Gaming,5,6,9
Sarah Clayton,Marketing,Gaming,7,1,7
Ryan Payne,Business,Taking a Nap,7,3,2
Traci Roberson,Marketing,Gaming,1,3,8
Troy Jimenez,Art History,Scrolling TikTok,8,3,5
Mark Ross II,Art History,Taking a Nap,2,5,6
Matthew Walker,Engineering,Binge-watching Netflix,11,5,3
William Johnson,Engineering,Taking a Nap,4,7,3
Christopher Hernandez,Marketing,Online Shopping,5,2,1
Virginia Porter,Computer Science,Gaming,3,7,8
Charles Johnson,Art History,Online Shopping,8,5,3
Cheryl Moreno,Psychology,Binge-watching Netflix,3,3,7
Brandy Palmer,Engineering,Gaming,10,1,3
Terry Morris,Art History,Binge-watching Netflix,8,3,5
Bryan Cox,Marketing,Scrolling TikTok,10,2,4
Roberta Lee,Engineering,Online Shopping,10,3,5
Angela Medina,Engineering,Gaming,9,5,10
Carly Osborne,Psychology,Binge-watching Netflix,11,3,10
Donna Phillips,Computer Science,Scrolling TikTok,7,2,4
Russell Vance,Art History,Binge-watching Netflix,6,7,4
Olivia Fisher,Computer Science,Binge-watching Netflix,10,4,3
Mrs. Shannon Henderson,Engineering,Gaming,8,4,6
Angela Cline,Business,Taking a Nap,6,3,6
Joshua Martin,Marketing,Taking a Nap,6,3,10
Ruben Brown,Psychology,Online Shopping,3,6,8
Diane Holland,Art History,Scrolling TikTok,1,5,9
Maria Wilson,Psychology,Online Shopping,9,2,7
Renee Ramirez,Computer Science,Scrolling TikTok,11,1,4
Catherine Hale,Marketing,Taking a Nap,9,2,8
Melissa Young,Business,Scrolling TikTok,5,5,1
Dr. Tammy Wall,Business,Binge-watching Netflix,2,4,7
Kevin Reed,Psychology,Binge-watching Netflix,11,4,9
Alison Hoover,Engineering,Online Shopping,4,7,1
Lisa White,Business,Gaming,11,6,5
Lori Hall,Art History,Taking a Nap,6,7,10
Earl Perez,Psychology,Gaming,9,1,6
Jonathan Reed,Marketing,Online Shopping,6,2,9
Kelly Morales,Engineering,Scrolling TikTok,1,1,1
Calvin Gates,Marketing,Gaming,4,1,6
Carlos Harris,Computer Science,Binge-watching Netflix,7,3,1
Timothy Bradley,Business,Gaming,8,7,9
Calvin Anderson,Marketing,Binge-watching Netflix,11,7,3
Marcus Miller,Engineering,Gaming,5,3,9
Joshua Parker,Art History,Online Shopping,4,3,7
Juan Morales,Art History,Binge-watching Netflix,12,1,7
Jason Choi,Business,Scrolling TikTok,12,7,2
Veronica Jimenez,Marketing,Taking a Nap,9,2,7
Debra Chapman,Business,Scrolling TikTok,11,5,8
Kyle Friedman,Engineering,Online Shopping,1,7,4
Angela Yu,Art History,Binge-watching Netflix,2,1,7
Felicia Anderson,Art History,Binge-watching Netflix,8,5,4
Eric Castillo,Business,Online Shopping,2,5,3
William Reyes,Computer Science,Scrolling TikTok,9,5,5
Richard Ortega,Engineering,Binge-watching Netflix,1,3,4
Austin Crawford,Computer Science,Binge-watching Netflix,10,7,2
Mackenzie Wise,Marketing,Gaming,10,7,1
Richard Thomas,Computer Science,Gaming,1,7,4
William Kennedy,Engineering,Scrolling TikTok,8,2,10
Brooke Santos,Art History,Scrolling TikTok,6,5,8
Samantha Taylor,Computer Science,Binge-watching Netflix,6,5,10
Christopher Carrillo,Business,Taking a Nap,10,6,4
Jennifer Shepard,Psychology,Scrolling TikTok,2,7,7
Michelle Jackson,Marketing,Online Shopping,6,1,3
Justin Morris,Engineering,Binge-watching Netflix,11,3,3
Daisy Giles,Marketing,Gaming,6,4,10
John Riley,Psychology,Scrolling TikTok,8,7,9
Gary Goodman,Business,Online Shopping,8,6,9
Kathryn Edwards,Psychology,Online Shopping,12,7,6
Kathleen Richard,Business,Binge-watching Netflix,8,1,7
April Montgomery,Psychology,Taking a Nap,11,1,6
Christopher Smith,Computer Science,Scrolling TikTok,2,1,9
Thomas Bowen,Marketing,Gaming,8,6,9
Nicole Kent,Art History,Taking a Nap,1,5,4
Katrina Lee,Psychology,Gaming,9,6,5
Jerry Huff,Art History,Taking a Nap,11,4,1
John Todd,Marketing,Scrolling TikTok,2,6,3
Lisa Kelly,Art History,Taking a Nap,8,7,3
Kristin Beasley,Business,Gaming,8,5,2
James Holder,Marketing,Online Shopping,5,7,5
Tiffany Padilla,Marketing,Taking a Nap,3,4,9
Maria Bell,Psychology,Taking a Nap,2,3,7
Amy Thompson,Psychology,Gaming,12,1,5
Christine Harris,Engineering,Binge-watching Netflix,6,2,8
Casey Martin,Business,Binge-watching Netflix,3,6,8
Seth Torres,Business,Taking a Nap,9,7,4
Renee Jordan,Computer Science,Scrolling TikTok,4,6,5
Daniel Tucker,Marketing,Binge-watching Netflix,11,3,5
Tyler Knight,Computer Science,Gaming,3,6,9
Megan Dodson,Engineering,Scrolling TikTok,10,1,1
Anthony George,Psychology,Binge-watching Netflix,6,4,3
Melissa Mercado,Psychology,Online Shopping,9,4,9
Dennis Moore,Art History,Gaming,2,6,3
Miss Christina Hamilton,Marketing,Online Shopping,6,2,3
Eric Hodge,Art History,Online Shopping,2,7,7
Michael Pierce DVM,Business,Gaming,3,3,10
Chris Salazar,Computer Science,Scrolling TikTok,1,6,4
Kristen Owens,Engineering,Online Shopping,2,6,5
Rebecca Alvarez,Engineering,Scrolling TikTok,3,5,5
Rebecca King,Art History,Taking a Nap,10,4,1
Philip Wright,Computer Science,Gaming,2,1,7
Stephen Hall,Engineering,Binge-watching Netflix,4,6,5
Juan Thompson,Art History,Scrolling TikTok,7,1,1
Sheila Potter,Psychology,Binge-watching Netflix,12,7,9
Tina Ewing,Engineering,Binge-watching Netflix,1,5,6
Jennifer Delgado,Psychology,Scrolling TikTok,7,7,10
Edward Cordova,Business,Gaming,8,3,4
Katie Holt,Marketing,Binge-watching Netflix,1,6,2
Richard Dominguez,Art History,Scrolling TikTok,8,6,10
Eddie Walter,Business,Gaming,2,5,9
Tammy Yu,Marketing,Taking a Nap,9,1,7
David Ayers,Business,Taking a Nap,11,1,5
Amber Rose,Computer Science,Taking a Nap,10,2,2
Thomas Nelson,Marketing,Online Shopping,12,3,2
Amanda Sutton,Business,Online Shopping,4,7,7
Mike Moore,Psychology,Gaming,12,1,5
Melissa Shelton,Marketing,Gaming,12,3,2
Kathleen Carr,Marketing,Binge-watching Netflix,8,2,1
Francisco Romero,Art History,Scrolling TikTok,3,3,9
Robert Perez,Marketing,Gaming,1,4,2
Wanda Kane,Art History,Binge-watching Netflix,5,2,5
Jessica Jones,Computer Science,Binge-watching Netflix,6,4,5
Joel Allen,Business,Online Shopping,8,7,6
Victoria Boyd,Art History,Online Shopping,1,4,9
Sara Warren,Art History,Binge-watching Netflix,8,4,6
Laura Baker,Business,Scrolling TikTok,10,1,9
Danielle Davis,Art History,Scrolling TikTok,9,6,9
Charles Hill,Art History,Online Shopping,1,4,10
Chris Davidson,Computer Science,Binge-watching Netflix,11,4,2
Donna Johnson,Psychology,Scrolling TikTok,10,6,6
Michael Daniel,Business,Gaming,6,1,5
Lisa Watkins,Business,Online Shopping,5,3,2
Scott Jones,Engineering,Gaming,11,7,8
Elizabeth Anderson,Art History,Online Shopping,2,3,2
Brandon Williams,Psychology,Binge-watching Netflix,2,4,6
Carrie Kelly,Psychology,Binge-watching Netflix,8,2,5
Amanda Hogan,Psychology,Taking a Nap,4,6,3
Tina Yang,Computer Science,Gaming,2,4,5
Sheri Holt,Engineering,Gaming,11,5,7
David Hall,Psychology,Scrolling TikTok,1,6,4
Bonnie Lara,Engineering,Binge-watching Netflix,9,7,9
Amanda Lozano,Computer Science,Taking a Nap,2,1,5
Jill Peters,Engineering,Gaming,12,3,8
Kevin Nguyen,Business,Online Shopping,9,1,3
Trevor Jackson,Computer Science,Scrolling TikTok,6,4,2
Mary Gould,Computer Science,Online Shopping,3,7,9
Evelyn Williams,Engineering,Binge-watching Netflix,12,1,5
Aaron Haas,Marketing,Taking a Nap,10,4,4
Heather Larsen,Business,Online Shopping,12,5,6
Keith Cole,Art History,Binge-watching Netflix,6,3,5
Steven Norton,Psychology,Taking a Nap,9,3,1
Kelly Gonzalez,Computer Science,Gaming,8,3,3
Angela Dorsey,Business,Online Shopping,1,4,2
Wesley Juarez,Computer Science,Binge-watching Netflix,5,1,5
Suzanne Alvarez PhD,Psychology,Gaming,1,5,10
Ashley Tyler,Psychology,Binge-watching Netflix,1,1,8
Michael Rodriguez,Business,Taking a Nap,2,3,7
Carol Allen,Marketing,Scrolling TikTok,2,6,5
George Branch,Marketing,Binge-watching Netflix,2,3,3
Jill Nolan,Engineering,Online Shopping,5,4,1
Tamara Myers,Business,Scrolling TikTok,5,1,10
Crystal Smith,Marketing,Binge-watching Netflix,2,4,3
Cynthia Gilbert,Computer Science,Scrolling TikTok,10,2,3
Adam Patterson,Psychology,Scrolling TikTok,6,6,8
Mark Brown,Psychology,Binge-watching Netflix,4,1,9
Jason Lee,Business,Gaming,3,4,7
Daniel Thomas,Psychology,Online Shopping,10,3,3
Katelyn Day,Business,Gaming,7,4,1
Joseph Walters,Psychology,Scrolling TikTok,10,4,6
Austin Anderson,Computer Science,Scrolling TikTok,9,2,4
Virginia Horton,Computer Science,Binge-watching Netflix,9,2,6
Andrea Cox,Business,Online Shopping,12,5,7
Travis Hubbard DDS,Business,Gaming,12,4,8
Adrienne Nielsen,Computer Science,Gaming,4,3,4
Mary Rangel,Psychology,Scrolling TikTok,7,4,5
Kristine Walsh,Computer Science,Scrolling TikTok,10,4,9
Daniel Williams,Business,Gaming,1,5,9
Carrie Long,Engineering,Gaming,5,3,6
Dustin Gross,Marketing,Taking a Nap,3,4,4
George Miller,Business,Taking a Nap,1,3,10
Deborah Scott,Business,Binge-watching Netflix,6,4,5
Mrs. Cassandra Welch,Marketing,Gaming,2,5,8
Kevin Booth,Business,Scrolling TikTok,9,1,9
Christine Pierce,Art History,Scrolling TikTok,2,4,3
Trevor Thomas,Marketing,Online Shopping,1,7,10
Christopher Parker,Computer Science,Scrolling TikTok,4,6,4
Manuel King IV,Engineering,Binge-watching Netflix,5,5,10
Glenda Cooper,Art History,Online Shopping,4,6,9
Tyler Carson,Psychology,Scrolling TikTok,10,7,4
Anna Sanchez,Marketing,Online Shopping,4,4,4
Shane Werner,Computer Science,Online Shopping,11,2,1
David Eaton,Engineering,Binge-watching Netflix,11,2,1
Mark Flowers,Psychology,Online Shopping,11,5,4
Tina Rogers,Marketing,Taking a Nap,4,1,6
Glenda Martin,Engineering,Gaming,1,3,6
Tristan Bowers,Art History,Online Shopping,11,1,9
Gabriel Castro,Psychology,Online Shopping,4,6,8
Thomas Jones,Art History,Scrolling TikTok,12,1,5
Kristen Smith,Marketing,Online Shopping,6,3,7
John Buckley,Engineering,Taking a Nap,3,7,8
Wyatt Copeland,Psychology,Binge-watching Netflix,4,4,7
Joe Baxter,Psychology,Scrolling TikTok,7,6,6
Nicole Thompson,Art History,Taking a Nap,2,4,6
Emily Pratt,Business,Taking a Nap,8,5,3
Christina Miller,Engineering,Binge-watching Netflix,11,4,7
Christine Preston,Engineering,Online Shopping,3,7,9
Brenda Sullivan,Computer Science,Gaming,5,1,3
Amanda Mcgee,Computer Science,Online Shopping,5,3,7
Jordan Gray,Art History,Gaming,12,7,3
Jennifer Dixon,Marketing,Scrolling TikTok,9,1,2
Douglas Strong,Psychology,Binge-watching Netflix,7,4,6
Jenny Anderson,Art History,Scrolling TikTok,12,1,6
Amanda Guerrero,Engineering,Gaming,3,5,1
Donald Brown,Engineering,Gaming,1,2,4
Daniel Smith,Marketing,Taking a Nap,5,3,3
Bradley Wilson,Computer Science,Online Shopping,2,4,6
Jeremy Hall,Computer Science,Taking a Nap,6,6,9
William Parker,Business,Taking a Nap,9,4,6
Michael Hall,Computer Science,Gaming,10,6,2
Jennifer Tucker,Computer Science,Scrolling TikTok,10,2,2
Brett Lewis,Marketing,Taking a Nap,6,7,4
Rebecca Zimmerman,Business,Scrolling TikTok,3,2,10
Rachel Chaney,Marketing,Binge-watching Netflix,6,5,7
Amy Myers,Psychology,Scrolling TikTok,7,6,4
Danielle Stephenson,Marketing,Gaming,2,5,4
Robert Patterson,Psychology,Online Shopping,10,4,2
Chelsea Carrillo,Engineering,Online Shopping,3,1,5
Danny Walter,Art History,Gaming,1,5,2
Anthony Hawkins,Engineering,Scrolling TikTok,6,6,1
Ronald Scott,Engineering,Gaming,6,6,6
Jaclyn Graham,Engineering,Scrolling TikTok,5,5,10
Michael Owen,Marketing,Gaming,2,4,7
Victor Rowe,Computer Science,Online Shopping,7,1,7
Jacob Carney,Art History,Gaming,1,7,2
Michelle Lewis,Marketing,Gaming,10,6,2
Jason Jones,Computer Science,Taking a Nap,3,4,4
Julie Morales,Art History,Online Shopping,12,5,10
John Brock,Art History,Binge-watching Netflix,6,7,6
Stacey Reese,Computer Science,Taking a Nap,8,2,7
Richard Williams,Psychology,Binge-watching Netflix,1,1,2
Linda Dougherty,Business,Scrolling TikTok,6,1,3
Shelby Gregory,Engineering,Binge-watching Netflix,10,7,2
Eric Sampson,Computer Science,Scrolling TikTok,8,6,8
Christopher Grant,Psychology,Online Shopping,4,6,9
Kayla Cole,Psychology,Online Shopping,12,3,6
Jason Cox,Business,Binge-watching Netflix,1,6,4
Rachel Perez,Engineering,Gaming,6,1,10
Carmen Nelson,Art History,Gaming,10,6,8
Shannon Eaton,Engineering,Binge-watching Netflix,4,5,2
Sean Mccoy,Art History,Scrolling TikTok,8,2,2
Charles Mccall,Business,Gaming,9,7,6
Michael Russo,Psychology,Online Shopping,5,4,8
Cynthia Watts,Psychology,Binge-watching Netflix,6,2,6
Donna Duffy,Psychology,Scrolling TikTok,4,3,2
Katherine Mitchell,Computer Science,Binge-watching Netflix,2,5,10
Christopher Watson DVM,Art History,Online Shopping,3,3,2
David Gill,Computer Science,Gaming,7,1,7
Tonya Hernandez,Business,Taking a Nap,4,7,6
Karen Shepherd,Business,Online Shopping,5,1,6
Lisa Cameron,Psychology,Gaming,3,4,2
Christopher Perry,Psychology,Binge-watching Netflix,8,3,10
Teresa Smith,Computer Science,Gaming,5,6,3
Dr. Timothy Lucas,Computer Science,Online Shopping,9,7,9
David Morris,Business,Scrolling TikTok,5,7,6
Travis Nelson,Engineering,Online Shopping,9,2,1
Andrea Clay,Engineering,Gaming,6,3,3
Luke Torres,Engineering,Binge-watching Netflix,4,5,7
Laura Weeks,Computer Science,Online Shopping,2,2,9
Joshua Stevenson,Computer Science,Online Shopping,11,7,7
Katie Wright,Computer Science,Binge-watching Netflix,7,6,2
Lisa Mueller,Business,Scrolling TikTok,7,3,5
Olivia Jones,Engineering,Gaming,11,3,6
Abigail Jones,Engineering,Binge-watching Netflix,6,6,9
Marc Moreno,Business,Gaming,7,5,4
Jeffrey Davis,Business,Online Shopping,12,3,5
Candace Williams,Marketing,Online Shopping,12,3,7
Cameron Cobb,Engineering,Binge-watching Netflix,1,1,9
Michelle Henderson,Computer Science,Gaming,7,5,5
Andrew Morris,Engineering,Gaming,7,2,5
Stephen Grant,Business,Scrolling TikTok,4,1,10
Nicholas Rice,Business,Online Shopping,9,3,8
Helen Jacobs,Art History,Binge-watching Netflix,1,6,9
Sara Zimmerman,Engineering,Online Shopping,3,1,4
Ellen Brooks,Engineering,Taking a Nap,6,5,9
Rebecca Boyd,Computer Science,Online Shopping,8,2,3
Sara Hayden,Art History,Binge-watching Netflix,9,2,6
Cindy Watkins,Computer Science,Scrolling TikTok,11,7,10
Brenda Glass,Psychology,Gaming,4,6,9
Kathleen Owens,Business,Online Shopping,2,4,2
Norma Young,Engineering,Gaming,7,2,5
Theresa Carr,Business,Taking a Nap,9,7,1
Carolyn Yates,Computer Science,Scrolling TikTok,2,1,2
Douglas Sanchez Jr.,Computer Science,Scrolling TikTok,2,7,8
Rhonda Horne,Computer Science,Scrolling TikTok,9,3,8
Alexis Arnold,Marketing,Scrolling TikTok,7,4,3
Lauren Kennedy,Art History,Online Shopping,7,6,8
Ashley Scott,Business,Gaming,9,2,2
Leslie Sanders,Engineering,Gaming,6,4,5
Meghan Nelson,Engineering,Gaming,4,3,4
Andrew Thomas,Marketing,Taking a Nap,9,4,6
Ronald Holmes,Engineering,Scrolling TikTok,7,2,10
Martin Carpenter,Marketing,Online Shopping,6,6,6
Christina Davis,Computer Science,Binge-watching Netflix,1,6,8
Joanne Crawford,Business,Taking a Nap,3,4,8
Cynthia Schroeder,Art History,Scrolling TikTok,8,2,6
John Massey,Computer Science,Online Shopping,12,5,3
Kyle Wells,Computer Science,Scrolling TikTok,3,2,3
Brian Garcia,Psychology,Online Shopping,2,7,9
Adam Shepherd,Computer Science,Scrolling TikTok,7,5,1
Stephanie Johnston,Marketing,Taking a Nap,2,2,1
Elizabeth Fox,Marketing,Gaming,3,5,1
Mrs. Charlene Chambers,Computer Science,Binge-watching Netflix,6,4,10
Darlene Martin,Business,Scrolling TikTok,9,7,10
Casey Pineda,Psychology,Online Shopping,1,7,5
Robert Curtis,Engineering,Scrolling TikTok,10,5,3
Jessica Nelson,Psychology,Scrolling TikTok,9,6,3
Julie Petty,Engineering,Online Shopping,6,4,6
Glenda Terry,Psychology,Gaming,2,6,4
Mary Allen,Business,Taking a Nap,1,2,1
Frank Brewer,Engineering,Online Shopping,11,6,8
David Vincent,Marketing,Scrolling TikTok,9,1,3
Sarah Ayers,Psychology,Taking a Nap,1,7,2
Steven Hartman,Art History,Gaming,8,5,3
Kristina Petty,Art History,Online Shopping,4,7,1
Kimberly James,Business,Binge-watching Netflix,4,3,4
James Gardner,Computer Science,Scrolling TikTok,10,5,3
Kari Frost,Computer Science,Gaming,9,7,5
Nathan Gutierrez,Art History,Scrolling TikTok,7,4,10
Joel Morrison,Business,Binge-watching Netflix,12,2,3
Madison Stevens,Computer Science,Binge-watching Netflix,1,6,5
April Mcmahon,Psychology,Online Shopping,7,4,9
Mr. Andrew Carter,Art History,Gaming,7,1,6
Scott Moss,Marketing,Gaming,10,6,4
Barbara Graham,Marketing,Binge-watching Netflix,6,5,10
Christopher Jones,Engineering,Gaming,4,3,1
Sierra Ingram,Engineering,Binge-watching Netflix,9,6,7
Katherine Gillespie,Marketing,Binge-watching Netflix,5,1,6
Brittany Rodriguez,Business,Binge-watching Netflix,12,1,5
Michele Mendoza,Engineering,Online Shopping,3,4,9
John Grimes,Psychology,Gaming,10,2,1
Dennis Wise,Engineering,Taking a Nap,10,4,7
Natalie Lee,Psychology,Binge-watching Netflix,5,2,6
Tiffany Jenkins,Engineering,Binge-watching Netflix,9,7,2
Brian Graves MD,Art History,Binge-watching Netflix,1,2,5
Virginia Byrd,Business,Binge-watching Netflix,1,7,4
Robert Payne,Art History,Binge-watching Netflix,9,4,4
Donna Moreno,Marketing,Gaming,7,1,7
Steven Tran,Engineering,Binge-watching Netflix,8,7,8
Mark Thomas,Psychology,Binge-watching Netflix,7,7,5
Matthew Lowe,Psychology,Taking a Nap,2,6,4
Jeremy Fletcher,Computer Science,Online Shopping,8,2,8
Karen Brennan,Computer Science,Scrolling TikTok,6,4,7
Timothy Dickerson,Marketing,Scrolling TikTok,7,2,10
Angela King,Engineering,Online Shopping,10,1,2
Jared Pineda,Business,Binge-watching Netflix,7,2,9
Mary Peck,Marketing,Scrolling TikTok,10,3,5
Calvin Browning,Psychology,Taking a Nap,2,5,3
Debra Bautista,Marketing,Gaming,11,4,8
John Miller,Business,Binge-watching Netflix,2,6,8
Willie Vasquez,Marketing,Gaming,4,5,9
Allen Murray,Psychology,Taking a Nap,5,1,5
Karen Ayers,Psychology,Gaming,6,5,10
Lisa Blevins,Psychology,Gaming,9,6,9
Connie Hall,Marketing,Scrolling TikTok,11,4,5
Toni Ramirez,Psychology,Scrolling TikTok,3,1,3
Bradley Baker,Marketing,Gaming,1,7,7
Jeffrey Palmer,Psychology,Scrolling TikTok,7,6,4
Trevor Nelson,Art History,Scrolling TikTok,8,5,2
Lisa Lynch,Marketing,Online Shopping,9,3,6
Christopher Martinez,Engineering,Taking a Nap,6,2,6
John Lee,Engineering,Scrolling TikTok,8,7,5
Alan Miller,Psychology,Taking a Nap,3,7,9
Carl Anderson,Psychology,Scrolling TikTok,11,6,2
Joshua Byrd,Art History,Scrolling TikTok,3,3,1
Kelsey Huff,Art History,Scrolling TikTok,4,3,1
Robert Clark,Art History,Gaming,3,7,6
Connie Gonzales,Business,Online Shopping,12,7,2
Eric Medina,Psychology,Taking a Nap,8,5,8
Andrew Turner,Engineering,Taking a Nap,7,2,2
Tina Freeman,Business,Scrolling TikTok,7,1,3
Cindy Thomas,Marketing,Binge-watching Netflix,5,1,3
Whitney Harris,Business,Taking a Nap,1,5,4
Kirsten Sanford,Art History,Scrolling TikTok,9,1,7
Matthew Schmidt,Engineering,Taking a Nap,2,7,9
Jorge Houston,Business,Scrolling TikTok,3,3,9
Jonathan Lee,Marketing,Gaming,7,1,10
Ms. Victoria Martin DDS,Computer Science,Gaming,6,7,3
Dr. Eric Mejia Jr.,Art History,Taking a Nap,11,7,8
Scott Ayala,Psychology,Gaming,11,5,6
Susan Wise,Art History,Online Shopping,3,3,8
Yvette Smith,Art History,Online Shopping,11,5,4
Ashley Arellano,Marketing,Taking a Nap,1,5,9
Patricia Green,Engineering,Online Shopping,5,2,7
Taylor Brown,Engineering,Scrolling TikTok,8,7,5
Sue Miranda,Marketing,Scrolling TikTok,4,2,1
Lauren Vega,Marketing,Binge-watching Netflix,11,4,6
Raymond Hill,Engineering,Taking a Nap,11,2,5
Emily Fox,Marketing,Gaming,5,3,3
Brian Carter,Computer Science,Gaming,2,3,7
Mr. Douglas Guerrero,Engineering,Gaming,10,4,5
Eric Brown,Art History,Gaming,12,5,6
Eduardo Schneider,Engineering,Binge-watching Netflix,12,2,5
Sandra Mccarthy,Engineering,Scrolling TikTok,3,3,5
Devin Lang,Engineering,Online Shopping,4,1,10
Robert Gay,Marketing,Taking a Nap,7,2,9
Kevin Santos,Computer Science,Binge-watching Netflix,6,6,6
Michelle Richards,Engineering,Taking a Nap,5,7,4
David Leonard,Marketing,Binge-watching Netflix,10,3,7
Jose Whitehead,Engineering,Online Shopping,5,6,7
Jake Galloway,Computer Science,Gaming,6,1,6
John Miles,Business,Scrolling TikTok,5,1,3
Jonathan Smith,Art History,Gaming,7,3,6
James Thompson,Art History,Taking a Nap,1,7,1
Martha Jacobs,Computer Science,Gaming,7,7,8
Terry Booker,Marketing,Scrolling TikTok,5,3,7
Julie Henson,Business,Online Shopping,8,5,8
Shirley Dunn,Business,Online Shopping,7,5,8
Dana Nguyen,Psychology,Gaming,5,2,5
Kimberly Gonzalez,Business,Binge-watching Netflix,8,1,3
Julie Campbell,Engineering,Binge-watching Netflix,1,1,8
Thomas Murray,Art History,Taking a Nap,10,2,3
Nancy Mcdaniel,Computer Science,Taking a Nap,3,1,5
Brianna Gonzalez,Marketing,Online Shopping,11,2,8
Sara Moran,Marketing,Gaming,7,4,8
Kurt Jones,Business,Gaming,7,5,2
Gina Phillips,Art History,Gaming,8,4,5
Larry Castro,Marketing,Scrolling TikTok,3,1,4
Kimberly Jones,Marketing,Scrolling TikTok,1,1,4
David Williams,Business,Gaming,9,5,10
Debra Ramirez,Marketing,Binge-watching Netflix,4,4,8
Elizabeth Jones,Computer Science,Online Shopping,9,5,5
Russell Montgomery,Computer Science,Online Shopping,2,5,1
Jill Gray,Business,Binge-watching Netflix,6,5,10
Jonathan Tate,Engineering,Gaming,8,4,10
Heather Wilson,Engineering,Binge-watching Netflix,12,7,6
Jennifer Ward,Marketing,Binge-watching Netflix,6,5,1
Kenneth Brock,Computer Science,Gaming,8,6,6
Shawn Duncan,Art History,Scrolling TikTok,3,6,8
Linda Anderson,Art History,Taking a Nap,2,3,7
Jill Cantrell,Marketing,Taking a Nap,4,1,7
Joseph Mejia,Computer Science,Online Shopping,2,6,10
Carla Dillon,Art History,Online Shopping,9,6,10
Melissa Allen,Marketing,Online Shopping,4,3,4
Kylie Bryant,Engineering,Online Shopping,8,2,8
Jody Chapman,Psychology,Scrolling TikTok,2,1,6
